country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
KHM,1995,1778.8,4.3821850962122,280.0,372.415700121352,301.98626888704,1437.464,0.128698541788859,158.713698213952,7.4838173758216,18.3335675734,3441205624.34357,2.78861326398949,11169233.0,5.06791421684512
KHM,1996,1800.9,8.3725541996451,300.0,364.507295567852,303.695883132508,1628.148,0.142086410356076,170.537488495488,8.02409803839091,18.3415737631,3506695722.70366,2.56001107075894,11458858.0,6.29230328615651
KHM,1997,1761.4,5.91564184666079,310.0,360.980684158626,310.285395672237,1906.84,0.162544506365809,189.10147861466402,8.61931533441586,18.3416012683,3443413331.64013,2.34877957053054,11731187.0,5.94676926824891
KHM,1998,1777.0,7.78172663355965,280.0,360.37810362942,318.365113404429,2233.203,0.186315630869285,210.902736833155,9.08562798595176,18.345603492,3120425502.56966,2.14991300380669,11986128.0,5.62293086392005
KHM,1999,1933.5,6.60286377628807,290.0,328.184849186624,318.129850641511,2196.533,0.179684114101502,185.363315541503,9.19211342155133,23.97928683,3517242477.23368,1.96851185470921,12224414.0,5.32494873821852
KHM,2000,2133.6,4.06410122577294,290.0,308.650191715643,319.60523016524,2255.205,0.181185365184673,174.974914119538,9.31555194771024,23.97928683,3654031716.27649,1.80404329858746,12446949.0,5.05147237403015
KOR,1991,5735.4,0.382821955023616,6980.0,187.227930139122,2309.83271701951,268431.734,6.20393209762411,502.87163949284997,51.0745285199223,2.1792551792,308185041249.063,0.926437776565327,43268000.0,2.11179648327484
KOR,1992,6066.9,0.22077332760186,7700.0,196.246038169709,2540.15550924123,286568.716,6.56319345899274,507.05585125904696,51.0692531433937,2.17924395681,329885864343.816,0.908772977371698,43663000.0,2.08024537335038
KOR,1993,5502.8,0.162397665781946,8330.0,207.398787755986,2823.75998728891,317085.49,7.19732817323407,528.627484251561,51.0932676593427,2.17923273361,362135746944.573,0.896049041842031,44056000.0,2.05395671571838
KOR,1994,5987.1,0.19105684401493,9270.0,202.898017497192,2971.5239241446,340352.605,7.65645974399928,522.789162315666,51.1421478865318,2.17922150958,423434190055.386,0.897089928583474,44453000.0,2.04174342538925
KOR,1995,5849.9,0.343403160232847,10770.0,203.673347477588,3210.16006919034,370781.371,8.22259266404985,521.694537573041,50.9445479342692,2.17921028474,517118129837.8,1.42945725731837,45093000.0,2.56115657843191
KOR,1996,6486.4,0.417004690630598,12070.0,206.816247617834,3454.73304777595,401030.454,8.80901601317957,527.3483108120511,50.6742778693026,2.1791990599,557643607433.65,0.95346017944728,45525000.0,1.31087695003151
KOR,1997,6655.2,0.550899471591099,12190.0,215.155674965738,3726.08262610437,423175.467,9.20867534926231,531.737741517111,50.2517713365539,2.17918783424,516282942110.187,0.937927054183982,45954000.0,1.29407090556569
KOR,1998,6088.5,1.56681880625355,9200.0,210.897991041777,3377.52422926524,363839.74,7.86051677576857,490.823184093165,49.9480026789379,2.17917660777,345432412375.842,0.72202479734871,46287000.0,1.07690476421748
KOR,1999,6367.4,2.09551293107681,9220.0,213.018670657794,3708.67078533582,395005.573,8.47342327906128,486.69657332849397,49.6593989317202,2.17917659877,445399303511.045,0.710413734370836,46617000.0,1.0640387555691
KOR,2000,6435.7,1.74047206466458,9910.0,213.605338942026,4000.91880105514,432460.311,9.19971730343771,491.164362609254,49.3186542716133,2.25879334677,533384027728.655,0.835251851875999,47008000.0,1.18763077175019
KWT,1996,6244.9,1.102950329485,20850.0,214.651287571567,8986.19757757413,47674.667,29.2820351079773,699.453410008365,76.5605729307422,1.58637025019,31492937200.8801,0.0128377156290463,1628120.0,0.0332229975261772
KWT,1997,3362.9,0.0651694456438872,21890.0,211.611752099835,8803.9470768615,49361.487,29.4026293593327,706.721866993376,77.7512312277968,1.58637110162,30350433059.9669,3.06604254769781,1678812.0,3.0864236748447
KWT,1998,2318.4,0.227639292122363,20430.0,233.059653121873,9567.61352457599,51088.644,28.9668576107066,705.610209843961,77.5053254733108,1.58637195821,25946185993.5521,4.93235057427668,1763693.0,4.95272754836653
KWT,1999,2258.8,0.23993263458753,17730.0,254.638059475914,9749.4536179671,53314.513,28.7066686337676,749.766159351695,77.0791996842588,1.58637195821,30120888963.6806,5.16692245288922,1857217.0,5.18729527561426
KWT,2000,2323.7,0.0432149886271092,18950.0,252.60361666812,9689.59741053367,59112.04,30.4577835990161,794.021254633597,77.2493721615881,1.58637195821,37718011468.5749,4.40139149751914,1940786.0,4.42176017057053
LAC,1991,2175.36102481972,1.07923828106757,2481.67223595346,143.84470174722,1054.586253872,1001061.664,2.25221451612589,315.895410286961,31.9263754627413,11.1831768765301,1186365282009.18,1.81302823768905,444478825.987659,2.48671047146712
LAC,1992,2437.09369740995,1.13489035145725,2783.67343312061,143.679328844921,1065.06944971387,1022689.63,2.26086395954925,312.06177968460105,32.0466194422402,11.5829400495307,1287104793353.4,1.76966489776733,452344611.749171,2.43773326701144
LAC,1993,2489.36493863632,0.957996264442064,2944.76004677411,139.641413529959,1048.33614169949,1056323.354,2.29551746348971,311.180287348715,32.1619518328895,11.7240446863144,1403144043811.69,1.72948808742474,460167857.92348,2.39213688981278
LAC,1994,2439.94370843776,1.75270704335684,3220.65225083143,141.04709437959,1089.79258811193,1104848.765,2.36091509907406,310.735710305613,32.2852797014932,12.2657947987722,1612153078012.28,1.69654165779436,467974797.328932,2.35570499033774
LAC,1995,2547.35404210625,1.70668757456289,3397.30838607714,140.769840291899,1080.94929104226,1129491.005,2.37397743916974,314.275979223888,32.2883647384254,12.7522980729009,1770556566105.52,1.66786987581764,475780008.0,2.32458356733942
LAC,1996,2572.47142909872,2.29408466996968,3723.44888319779,142.239509726881,1111.20648973207,1173293.32,2.42622561587972,315.776955381743,32.5554536388578,13.1563816340025,1911377105644.59,1.64106925340309,483587887.425127,2.26220939258219
