country,year,co2_ttl,co2_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
BGR,1995,59805.103,7.11965511904762,4.09661857674,13069087676.7291,22.9,-0.415800988626669,8400000.0,-0.00196654900154648,5695200.0
BGR,1996,56691.82,6.78456438487315,4.09724369958,8890314314.92352,22.7,-0.525186182352257,8356000.0,-0.201227752224909,5683751.2
BGR,1997,53681.213,6.45822591922973,4.10523705559,10053468883.3592,22.4,-0.527140865498268,8312068.0,-0.204228538326803,5672155.2032
BGR,1998,50993.302,6.17576625893182,4.10524314512,13060786260.8922,22.0,-0.664710885191053,8257000.0,-0.342837935276993,5652742.2
BGR,1999,43981.998,5.35843055555556,4.10627342978,13228374664.8122,21.4,-0.595203663126625,8208000.0,-0.27436340796423,5637254.4
BGR,2000,43530.957,5.40086315136476,4.50458903139,12903546576.0887,20.7,-1.81957307616099,8060000.0,-1.49975899195388,5553340.0
BHR,1991,11503.379,22.7032160020526,1.34936050353,4616223477.21289,16.2,2.76014544652782,506685.0,2.8282266927749,446693.496
BHR,1992,10590.296,20.3778670607432,1.34936050353,4751063992.46826,15.6,2.53545165085462,519696.0,2.60348657807354,458475.8112
BHR,1993,15141.043,28.4412542593198,1.34936050353,5200266050.40256,15.0,2.40796838309088,532362.0,2.4759570542651,469969.1736
BHR,1994,15254.72,27.973425216704,1.34936050353,5567553552.34054,14.5,2.40655731851813,545329.0,2.47449979650262,481743.6386
BHR,1995,16021.123,28.6567901278733,1.34936050353,5849468115.18506,14.0,2.48836179897505,559069.0,2.55625814649679,494216.996
BHR,1996,15621.42,27.1717509053528,1.34936050353,6101861655.74215,13.7,2.79475641514738,574914.0,2.79475641514738,508223.976
BHR,1997,17319.241,29.2068295035633,1.34936050353,6349202600.38155,13.2,3.09503255560962,592986.0,3.09503255560962,524199.624
BHR,1998,18404.673,30.1105348661812,1.34936050353,6183941092.31601,12.8,3.03139827191936,611237.0,3.03139827191936,540333.508
BHR,1999,18019.638,28.7502301500562,1.34936050353,6621186419.41611,12.5,2.50868970703917,626765.0,2.50868970703915,554060.26
BHR,2000,18643.028,29.2122100994527,1.34936050353,7970690894.22308,12.2,1.80690756958621,638193.0,1.80690756958624,564162.612
BHS,1991,1782.162,6.83226437156165,6.0811488636,3111160000.0,21.2,1.82490416592034,260845.0,2.12520469189731,208780.338
BHS,1992,1793.163,6.74727668845316,6.08381720409,3109000000.0,20.2,1.86710474709865,265761.0,2.16650616835913,213352.9308
BHS,1993,1716.156,6.33967366208474,6.08352046712,3092000000.0,19.2,1.84174820883681,270701.0,2.14025589318212,217968.4452
BHS,1994,1719.823,6.24422893989674,7.35537908717,3259000000.0,18.5,1.73040992322395,275426.0,2.02802919052856,222434.0376
BHS,1995,1730.824,6.18650768119983,7.35512061968,3429000000.0,17.7,1.56631444249148,279774.0,1.86305056527167,226616.94
BHS,1996,1730.824,6.10138996111775,7.35486219011,3609000000.0,17.3,1.38541325769451,283677.0,1.63202250721386,230345.724
BHS,1997,1741.825,6.06449130796575,7.35460379401,4204761925.22038,17.2,1.24017606489664,287217.0,1.48617864898287,233794.638
BHS,1998,1793.163,6.17116986898211,7.35434544254,4714138318.85339,17.1,1.16099250030136,290571.0,1.40639139645802,237105.936
BHS,1999,1796.83,6.11191613263126,7.35434544254,5150088040.1926,16.9,1.16909975532915,293988.0,1.41389791919316,240482.184
BHS,2000,1796.83,6.03670069981287,7.35434544254,5528200494.69908,16.8,1.23827090652099,297651.0,1.48247127207617,244073.82
BIH,1994,3630.33,1.04861249116126,0.535846782563,1255802465.43943,14.3,-6.03445702416119,3462032.0,-5.09687305254105,1409739.4304
BIH,1995,3542.322,1.06309058136946,0.535824186447,1866572992.65202,13.3,-3.82535642865308,3332098.0,-2.89648150266091,1369492.278
BIH,1996,5368.488,1.6240231940737,0.535801723079,2786045391.91109,12.4,-0.796235471106125,3305672.0,0.220476264438281,1372515.0144
